#npts=256 ncol=12 nk=6 niter=2
#irep      f[i]
    0   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246   -0.4246
    1   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059   -0.7059
    2   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530   -1.0530
    3   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322   -1.4322
    4   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185   -1.7185
    5   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115
    6   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824   -1.7824
    7   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653   -1.4653
    8   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578   -1.1578
    9   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013   -1.0013
   10   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363   -0.9363
   11   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111   -1.2111
   12   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545   -1.6545
   13   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115   -1.8115
   14   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774   -1.7774
   15   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308   -1.7308
   16   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066   -1.7066
   17   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541   -1.6541
   18   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397   -1.4397
   19   -1.0845   -1.0179   -1.1611   -1.1615   -1.1616   -1.1616   -1.1617   -1.1617   -1.1618   -1.1618   -1.1618   -1.1618   -1.1619   -1.1619   -1.1619   -1.1619
   20   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960   -0.5960
   21    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397    0.0397
   22    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204    0.7204
   23    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653    0.8653
   24    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028    0.6028
   25    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908    0.2908
   26    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673    0.0673
   27   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648   -0.1648
   28   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651   -0.3651
   29   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050   -0.4050
   30   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258   -0.5258
   31   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315   -0.6315
   32   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472   -0.5472
   33   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360   -0.3360
   34    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471    0.0471
   35    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240    0.7240
   36    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336    1.3336
   37    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612    1.8612
   38    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809    2.0809
   39    2.0817    1.9039    2.0811    2.0846    2.0860    2.0865    2.0868    2.0869    2.0870    2.0870    2.0870    2.0871    2.0871    2.0871    2.0871    2.0872
   40    1.8884    1.7270    1.8868    1.8840    1.8830    1.8827    1.8826    1.8826    1.8826    1.8826    1.8826    1.8826    1.8826    1.8826    1.8827    1.8827
   41    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500    1.5500
   42    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283    1.2283
   43    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310    0.8310
   44    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782    0.5782
   45    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498    0.3498
   46    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170    0.0170
   47   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191   -0.3191
   48   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559   -0.6559
   49   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404   -0.7404
   50   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178   -0.7178
   51   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455   -0.5455
   52   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990   -0.1990
   53    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387    0.1387
