  0.000000  1.000000  1.056813
  0.007812  0.998795  1.055201
  0.015625  0.995185  1.054890
  0.023438  0.989177  1.055408
  0.031250  0.980785  1.055502
  0.039062  0.970031  1.053389
  0.046875  0.956940  1.047130
  0.054688  0.941544  1.035032
  0.062500  0.923880  1.016006
  0.070312  0.903989  0.989807
  0.078125  0.881921  0.957103
  0.085938  0.857729  0.919366
  0.093750  0.831470  0.878591
  0.101562  0.803208  0.836914
  0.109375  0.773010  0.796191
  0.117188  0.740951  0.757633
  0.125000  0.707107  0.721561
  0.132812  0.671559  0.687346
  0.140625  0.634393  0.653533
  0.148438  0.595699  0.618140
  0.156250  0.555570  0.579070
  0.164062  0.514103  0.534555
  0.171875  0.471397  0.483542
  0.179688  0.427555  0.425952
  0.187500  0.382683  0.362739
  0.195312  0.336890  0.295755
  0.203125  0.290285  0.227426
  0.210938  0.242980  0.160301
  0.218750  0.195090  0.096579
  0.226562  0.146730  0.037678
  0.234375  0.098017 -0.016042
  0.242188  0.049068 -0.065350
  0.250000  0.000000 -0.111994
  0.257812 -0.049068 -0.158347
  0.265625 -0.098017 -0.206911
  0.273438 -0.146730 -0.259783
  0.281250 -0.195090 -0.318167
  0.289062 -0.242980 -0.382060
  0.296875 -0.290285 -0.450154
  0.304688 -0.336890 -0.519998
  0.312500 -0.382683 -0.588406
  0.320312 -0.427555 -0.652019
  0.328125 -0.471397 -0.707954
  0.335938 -0.514103 -0.754393
  0.343750 -0.555570 -0.791002
  0.351562 -0.595699 -0.819101
  0.359375 -0.634393 -0.841525
  0.367188 -0.671559 -0.862180
  0.375000 -0.707107 -0.885371
  0.382812 -0.740951 -0.914988
  0.390625 -0.773010 -0.953697
  0.398438 -0.803208 -1.002272
  0.406250 -0.831470 -1.059186
  0.414062 -0.857729 -1.120546
  0.421875 -0.881921 -1.180404
  0.429688 -0.903989 -1.231399
  0.437500 -0.923880 -1.265655
  0.445312 -0.941544 -1.275811
  0.453125 -0.956940 -1.256014
  0.460938 -0.970031 -1.202755
  0.468750 -0.980785 -1.115412
  0.476562 -0.989177 -0.996443
  0.484375 -0.995185 -0.851188
  0.492188 -0.998795 -0.687348
  0.500000 -1.000000 -0.514191
  0.507812 -0.998795 -0.341633
  0.515625 -0.995185 -0.179305
  0.523438 -0.989177 -0.035721
  0.531250 -0.980785  0.082340
  0.539062 -0.970031  0.170214
  0.546875 -0.956940  0.225468
  0.554688 -0.941544  0.247779
  0.562500 -0.923880  0.238657
  0.570312 -0.903989  0.201066
  0.578125 -0.881921  0.139034
  0.585938 -0.857729  0.057298
  0.593750 -0.831470 -0.038979
  0.601562 -0.803208 -0.144404
  0.609375 -0.773010 -0.253495
  0.617188 -0.740951 -0.360798
  0.625000 -0.707107 -0.461013
  0.632812 -0.671559 -0.549170
  0.640625 -0.634393 -0.620862
  0.648438 -0.595699 -0.672524
  0.656250 -0.555570 -0.701732
  0.664062 -0.514103 -0.707460
  0.671875 -0.471397 -0.690244
  0.679688 -0.427555 -0.652200
  0.687500 -0.382683 -0.596864
  0.695312 -0.336890 -0.528857
  0.703125 -0.290285 -0.453386
  0.710938 -0.242980 -0.375667
  0.718750 -0.195090 -0.300323
  0.726562 -0.146730 -0.230870
  0.734375 -0.098017 -0.169354
  0.742188 -0.049068 -0.116205
  0.750000 -0.000000 -0.070337
  0.757812  0.049068 -0.029471
  0.765625  0.098017  0.009380
  0.773438  0.146730  0.049321
  0.781250  0.195090  0.093006
  0.789062  0.242980  0.142172
  0.796875  0.290285  0.197355
  0.804688  0.336890  0.257828
  0.812500  0.382683  0.321771
  0.820312  0.427555  0.386636
  0.828125  0.471397  0.449627
  0.835938  0.514103  0.508209
  0.843750  0.555570  0.560557
  0.851562  0.595699  0.605853
  0.859375  0.634393  0.644387
  0.867188  0.671559  0.677446
  0.875000  0.707107  0.707017
  0.882812  0.740951  0.735368
  0.890625  0.773010  0.764585
  0.898438  0.803208  0.796155
  0.906250  0.831470  0.830680
  0.914062  0.857729  0.867767
  0.921875  0.881921  0.906116
  0.929688  0.903989  0.943781
  0.937500  0.923880  0.978556
  0.945312  0.941544  1.008405
  0.953125  0.956940  1.031841
  0.960938  0.970031  1.048206
  0.968750  0.980785  1.057766
  0.976562  0.989177  1.061632
  0.984375  0.995185  1.061505
  0.992188  0.998795  1.059316
