#covariance -uom0 12(4x124+) vb12817_seed_regressors.dat
#$Id: covariance.c,v 1.33 2015/06/02 05:26:34 avi Exp $
  1.000000 -0.001749 -0.005922 -0.010417 -0.010155 -0.036217 -0.046009 -0.039933 -0.163172  0.030139  0.013144  0.103048 -0.052454  0.098775 -0.148359 -0.093978 -0.037826  0.004873 -0.041286 -0.054291 -0.037149  0.036862 -0.040912  0.037147  0.071144  0.043650  0.058683 -0.040241  0.503770  0.071410 -0.005616  0.043928  0.158903 -0.084088  0.029049 -0.021612
 -0.001749  1.000000  0.011823 -0.031474 -0.261437 -0.027911 -0.133025  0.125939  0.025351 -0.117480  0.150719  0.007597  0.051167 -0.315160 -0.000641  0.067920 -0.052743  0.225854  0.080443  0.507144 -0.031417 -0.088791  0.296326  0.356884 -0.277216 -0.083184 -0.073102  0.006579  0.017150 -0.055744 -0.121803 -0.206044 -0.043193  0.014917 -0.292123  0.112170
 -0.005922  0.011823  1.000000 -0.030341 -0.078516 -0.018570  0.058538 -0.098679 -0.079128  0.016380 -0.000633  0.031376 -0.134788  0.072381 -0.119950  0.039498 -0.047675 -0.067685  0.056997  0.026688 -0.089168 -0.008106  0.002408  0.031049  0.006789  0.136311 -0.017052 -0.084963  0.042830 -0.027119  0.056946 -0.039950  0.113425 -0.086410 -0.094507  0.007154
 -0.010417 -0.031474 -0.030341  1.000000  0.148230 -0.037049 -0.061223 -0.117735 -0.080376 -0.018817  0.103380 -0.061039  0.156191 -0.027396  0.063034 -0.035215 -0.134259 -0.012805 -0.028922 -0.007020  0.004846  0.152452 -0.022323 -0.056173 -0.014083 -0.153695  0.065183  0.017960  0.028343 -0.038159 -0.115221  0.069694 -0.002553  0.085577  0.156228  0.144201
 -0.010155 -0.261437 -0.078516  0.148230  1.000000  0.039685  0.051204 -0.121145 -0.043037 -0.050126  0.143895 -0.018759  0.016682  0.160788  0.001465 -0.031103 -0.009857 -0.279334 -0.065814 -0.305121  0.068348  0.078025 -0.316216 -0.222966  0.434084 -0.182343  0.293649  0.094812  0.059881 -0.099215  0.124606  0.385362 -0.015731  0.016778  0.491650  0.014581
 -0.036217 -0.027911 -0.018570 -0.037049  0.039685  1.000000  0.039176  0.030649  0.031524 -0.010443  0.001572  0.047424  0.077823  0.020396  0.011493 -0.094778 -0.004095 -0.064765  0.016341  0.033840  0.008297 -0.046009 -0.091205 -0.036138  0.065174 -0.097824 -0.015762  0.108408 -0.039132 -0.018120  0.020152  0.008896  0.109293 -0.069370 -0.011350 -0.113815
 -0.046009 -0.133025  0.058538 -0.061223  0.051204  0.039176  1.000000  0.145758  0.033077 -0.148399  0.074929  0.034155 -0.057233  0.164891  0.081377  0.183508  0.016501 -0.078873  0.181681 -0.104823 -0.009563  0.092738 -0.014531 -0.066650  0.021022  0.063739 -0.029427  0.065619 -0.023265 -0.091819  0.116234  0.001665 -0.230463  0.140502  0.045199  0.002686
 -0.039933  0.125939 -0.098679 -0.117735 -0.121145  0.030649  0.145758  1.000000  0.159225 -0.004024  0.075032  0.045609 -0.046019 -0.037648  0.088640  0.106636 -0.028025  0.108471  0.074763  0.131319 -0.078638 -0.025743  0.096794 -0.011576 -0.122671  0.027785 -0.101219  0.027080 -0.038479  0.056835  0.123489 -0.071957 -0.159960  0.184717 -0.074556 -0.032463
 -0.163172  0.025351 -0.079128 -0.080376 -0.043037  0.031524  0.033077  0.159225  1.000000 -0.009661 -0.001365  0.008530  0.058885  0.011321  0.061847  0.055289 -0.004716 -0.006257 -0.009528  0.059789 -0.009892 -0.058613  0.048796 -0.024719 -0.011006 -0.015426 -0.027931 -0.044760 -0.275681  0.020832  0.013895 -0.040446 -0.253756  0.063104 -0.030912 -0.070928
  0.030139 -0.117480  0.016380 -0.018817 -0.050126 -0.010443 -0.148399 -0.004024 -0.009661  1.000000 -0.294620  0.012910  0.018671 -0.062268 -0.044446  0.017613  0.063674  0.323956 -0.051090 -0.083566 -0.077072 -0.094258  0.097498 -0.146756 -0.087992  0.037803 -0.025815 -0.086376 -0.002073  0.247542 -0.065582  0.020897  0.029780 -0.062413 -0.106560 -0.024865
