    0.0000   -0.4389   -0.4389   -0.8778   -0.8778
    1.0000   -0.2480   -0.2480   -1.1547   -1.1547
    2.0000    0.0369    0.0369   -1.0098   -1.0098
    3.0000    0.3084    0.3084   -0.6547   -0.6547
    4.0000    0.4899    0.4899   -0.3470   -0.3470
    5.0000    0.6516    0.6516   -0.0458   -0.0458
    6.0000    0.5606    0.5606    0.0135    0.0135
    7.0000    0.2473    0.2473   -0.1696   -0.1696
    8.0000    0.1667    0.1667   -0.3382   -0.3382
    9.0000    0.1307    0.1307   -0.4111   -0.4111
   10.0000   -0.1945   -0.1945   -0.3407   -0.3407
   11.0000   -0.4011   -0.4011   -0.5687   -0.5687
   12.0000   -0.2743   -0.2743   -0.8558   -0.8558
   13.0000   -0.1113   -0.1113   -1.4063   -1.4063
   14.0000   -0.1465   -0.1465   -1.8630   -1.8630
   15.0000   -0.0346   -0.0346   -2.0292   -2.0292
   16.0000    0.2096    0.2096   -1.6960   -1.6960
   17.0000    0.3168    0.3168   -1.3351   -1.3351
   18.0000    0.3263    0.3263   -0.9877   -0.9877
   19.0000    0.3307    0.3585   -0.7657   -0.7707
   20.0000    0.3412    0.3412   -0.6354   -0.6354
   21.0000    0.1585    0.1585   -0.4016   -0.4016
   22.0000   -0.1658   -0.1658    0.1776    0.1776
   23.0000   -0.3132   -0.3132    0.7712    0.7712
   24.0000   -0.4254   -0.4254    1.4230    1.4230
   25.0000   -0.5556   -0.5556    1.7552    1.7552
   26.0000   -0.5968   -0.5968    1.7878    1.7878
   27.0000   -0.8151   -0.8151    1.6211    1.6211
   28.0000   -0.8589   -0.8589    1.6584    1.6584
   29.0000   -0.6303   -0.6303    1.4356    1.4356
   30.0000   -0.0905   -0.0905    1.0529    1.0529
   31.0000    0.1575    0.1575    0.5939    0.5939
   32.0000    0.0844    0.0844    0.2119    0.2119
   33.0000   -0.2785   -0.2785    0.2586    0.2586
   34.0000   -0.5562   -0.5562    0.3831    0.3831
   35.0000   -0.6763   -0.6763    0.5946    0.5946
   36.0000   -0.6083   -0.6083    0.7156    0.7156
   37.0000   -0.4821   -0.4821    0.6304    0.6304
   38.0000   -0.4229   -0.4229    0.2808    0.2808
   39.0000   -0.2451   -0.2451   -0.5374   -0.5374
   40.0000    0.0341    0.0341   -1.4195   -1.4195
   41.0000    0.1742    0.1742   -2.0699   -2.0699
   42.0000    0.2869    0.2869   -2.4652   -2.4652
   43.0000    0.5558    0.5558   -2.6454   -2.6454
   44.0000    0.9957    0.9957   -2.3795   -2.3795
   45.0000    1.3752    1.3752   -1.7950   -1.7950
   46.0000    1.7181    1.7181   -1.1143   -1.1143
   47.0000    1.7044    1.7044   -0.3947   -0.3947
   48.0000    1.2776    1.2776    0.1238    0.1238
   49.0000    0.8532    0.8532    0.2450    0.2450
   50.0000    0.5940    0.5940    0.1518    0.1518
   51.0000    0.4087    0.4087    0.0229    0.0229
   52.0000    0.4477    0.4477   -0.1429   -0.1429
   53.0000    0.7381    0.7381   -0.2884   -0.2884
   54.0000    1.0023    1.0023   -0.2727   -0.2727
   55.0000    1.0826    1.0826    0.0735    0.0735
   56.0000    0.8469    0.8469    0.2142    0.2142
   57.0000    0.4405    0.4405    0.1426    0.1426
   58.0000    0.2603    0.2603    0.1867    0.1867
   59.0000    0.1497    0.1497    0.5401    0.5401
   60.0000    0.1322    0.1322    0.8757    0.8757
   61.0000    0.2191    0.2191    1.0428    1.0428
   62.0000    0.3633    0.3538    1.0882    1.0839
   63.0000    0.5205    0.4575    1.0680    1.0731
   64.0000    0.4489    0.4489    1.0847    1.0847
   65.0000    0.3265    0.3265    1.1744    1.1744
   66.0000    0.2984    0.2984    1.2799    1.2799
   67.0000    0.2797    0.2797    1.2459    1.2459
   68.0000    0.2774    0.2774    1.1858    1.1858
   69.0000    0.1233    0.1233    1.0891    1.0891
   70.0000   -0.1911   -0.1911    0.9405    0.9405
   71.0000   -0.4855   -0.4855    0.6544    0.6544
   72.0000   -0.4941   -0.4941    0.2897    0.2897
   73.0000   -0.5996   -0.6214    0.1831    0.1673
   74.0000   -0.7021   -0.9262    0.3373    0.2806
   75.0000   -1.0763   -1.3261    0.5891    0.5195
   76.0000   -1.6684   -1.7385    0.8608    0.7739
   77.0000   -2.0808   -2.0808    0.9338    0.9338
   78.0000   -2.2930   -2.2930    0.9713    0.9713
   79.0000   -2.3725   -2.3725    0.9945    0.9945
   80.0000   -2.2556   -2.2556    0.6654    0.6654
   81.0000   -2.1516   -2.1516    0.2774    0.2774
   82.0000   -2.4460   -2.4460   -0.1246   -0.1246
   83.0000   -2.5550   -2.5550   -0.4041   -0.4041
   84.0000   -2.4596   -2.4596   -0.4956   -0.4956
   85.0000   -2.1289   -2.1289   -0.8344   -0.8344
   86.0000   -1.5116   -1.5116   -1.1121   -1.1121
   87.0000   -0.5850   -0.5850   -1.1285   -1.1285
   88.0000    0.2638    0.2638   -1.0055   -1.0055
   89.0000    0.8904    0.8904   -0.7257   -0.7257
   90.0000    1.3343    1.3343   -0.4092   -0.4092
   91.0000    1.6448    1.6448   -0.1237   -0.1237
   92.0000    1.8833    1.8833    0.0238    0.0238
   93.0000    2.1224    2.1224    0.1165    0.1165
   94.0000    2.3319    2.3319    0.1321    0.1321
   95.0000    2.3481    2.3481    0.0245    0.0245
   96.0000    2.1025    2.1025   -0.3052   -0.3052
   97.0000    1.8722    1.8722   -0.6791   -0.6791
