#simulate_test_lag 512 /data/nil-bluearc/raichle/avi/NP600/vb12817/FCmaps/vb12817_seed_regressors_CCR.dat -N1000
#$Id: simulate_test.c,v 1.12 2016/06/16 02:07:41 avi Exp avi $
sump/npts = 512.000183
E[SSt]/npts
  512.6252   -0.2114   -0.6628   -1.4935    2.5070    1.2965    0.0360   -3.2030    1.6016   -2.3662   -4.5770    1.4353    1.5175    0.3237   -1.9396   -3.3143    2.5201   -4.4915   -3.3795   -0.2057   -1.1134    4.2064    0.3063   -0.6197    1.8019    0.7896   -1.8403    1.3606    0.5494    1.5200   -5.0969   -0.7555   -1.6826   -0.3353   -1.1739    3.2145
   -0.2114  516.1395   -0.3804    1.6079   -3.5671   -2.2028   -2.5172    1.6136    1.6677    4.6564    1.0550    3.0998   -4.6691   -4.1353   -0.5675    0.2817    5.2221    3.3616    1.1735    0.5585    1.2740    1.5350   -2.1532    5.0175   -2.1172   -4.4499    0.7700   -1.3437    0.5606   -2.5909    0.7609    1.0911    7.3817   -0.8832    0.9140   -2.6418
   -0.6628   -0.3804  511.3653    1.8255    4.7352   -1.9842   -1.4810   -1.9073    1.3874    3.3828   -3.6099    0.9479   -1.6650   -3.5745    0.1411    2.2278   -1.7655   -2.5234    2.0510    1.0830   -0.1177   -3.1584    0.1879    3.4441    1.7207   -2.4425    0.3424   -2.5109   -2.5315   -2.8979   -1.8241    3.8023    1.5416   -1.9490    0.7709   -1.3139
   -1.4935    1.6079    1.8255  513.7720   -0.0201   -2.2067   -1.2935    2.1048    0.1151   -0.1385    0.9364   -1.6345   -3.6601    4.2603    2.0506    0.4254    0.8633    0.0167   -0.5162   -4.8800    0.6415   -2.4845   -1.3902    1.9994   -4.1356   -0.3502    2.7091   -0.1821    1.4468   -3.3057   -0.1309    5.9376    0.0542   -4.0238   -2.4206    3.9343
    2.5070   -3.5671    4.7352   -0.0201  508.7192   -1.5779   -1.2893    1.5365    0.0628    1.0134   -0.9637   -2.9547    2.7010   -1.1803    0.5710   -1.8966    3.6782   -0.0931    1.4371    0.0949   -0.2650   -3.7544   -0.8924    4.0174    3.3646    3.9433   -1.6585    2.7007    0.5178   -0.5765   -1.2960   -1.4999   -2.4853   -1.0058    1.4647    0.0727
    1.2965   -2.2028   -1.9842   -2.2067   -1.5779  509.4421   -1.1491    1.0577    0.2654    0.6315    2.3548   -3.7473   -3.4010    3.0185    0.3260   -1.7753    0.2180   -1.8097   -2.8630    5.8959   -1.8493   -3.4939    1.6225    0.6579   -1.1072    0.6163    0.4470   -2.9230   -0.0734   -2.8875   -1.3073   -0.9307    1.4246    3.1400   -0.8828   -1.4061
    0.0360   -2.5172   -1.4810   -1.2935   -1.2893   -1.1491  507.0258   -2.6209    3.5492   -0.2062   -1.6355   -2.6944    0.3324   -0.7772   -2.0178   -1.8503    1.1418   -2.0348    1.4843    1.0915   -2.8770   -3.9419    2.0790    5.3244   -0.1398    0.6572   -2.4833    2.1818    1.2806   -0.6683   -1.8007   -0.0253   -0.4654    3.7761   -2.2486   -4.2623
   -3.2030    1.6136   -1.9073    2.1048    1.5365    1.0577   -2.6209  518.6404    1.4673   -1.4622   -1.6760   -0.8458    2.1251   -0.5513    1.1953   -0.9227    2.4362    1.3743    0.5523    0.2644   -0.2638   -0.3342   -0.6591   -0.5524   -0.4621   -3.6594   -1.9678    0.7817   -0.7633    3.2537    0.1822   -0.5610    1.7105   -2.2012   -3.9942   -2.3999
    1.6016    1.6677    1.3874    0.1151    0.0628    0.2654    3.5492    1.4673  514.1320   -2.0825   -2.7636    0.6576    0.0245    0.8709   -1.0388    0.4315    3.2625    5.8284   -0.3143   -1.6751    3.1073   -4.2263    1.7653   -4.2606    1.4022   -0.0162    0.3702    0.2432    0.8612   -1.8782   -4.4004    1.0942    2.0288    3.3077    1.8334   -0.3656
   -2.3662    4.6564    3.3828   -0.1385    1.0134    0.6315   -0.2062   -1.4622   -2.0825  514.1845   -4.3830   -0.0803    5.9015    1.8129   -0.4405   -1.7363    1.3093   -2.7858    0.5391   -1.2434   -3.9398   -2.1949    2.3742   -2.5487    1.6014   -2.0121   -3.8050    1.7271    1.7529   -0.7984    0.0089   -0.2714   -1.8083    3.5895   -0.8401   -0.8274
   -4.5770    1.0550   -3.6099    0.9364   -0.9637    2.3548   -1.6355   -1.6760   -2.7636   -4.3830  507.6157    0.4290   -0.8276    2.2044    0.1093    1.0196    1.0719    3.3101   -0.2654   -1.2381   -2.4589    0.7929    1.6002    2.0024   -1.6314    0.7188   -2.7766   -0.9474   -0.4436   -0.8606   -1.2981   -1.0222   -1.1410   -3.5422   -0.5957    2.1951
    1.4353    3.0998    0.9479   -1.6345   -2.9547   -3.7473   -2.6944   -0.8458    0.6576   -0.0803    0.4290  511.6877    0.2663   -1.4511   -0.3825    0.3167    1.3108   -2.5793   -0.3030   -1.6299   -3.1184   -1.7322    1.8050   -3.3699   -1.9552   -2.0898   -5.0198    0.4573   -0.3843    2.2635    2.5649   -0.1564    2.7480   -1.7742    1.7057    0.0558
    1.5175   -4.6691   -1.6650   -3.6601    2.7010   -3.4010    0.3324    2.1251    0.0245    5.9015   -0.8276    0.2663  511.7167    1.2811    2.6599    0.8210    1.7683    1.3753   -1.0819   -1.4836   -0.9697    1.0240    2.1343   -1.1096    0.3354   -2.4142   -1.8374    0.7972   -1.3518    3.4975   -1.6650    0.5439   -0.2201    1.1483   -1.0822    0.1224
    0.3237   -4.1353   -3.5745    4.2603   -1.1803    3.0185   -0.7772   -0.5513    0.8709    1.8129    2.2044   -1.4511    1.2811  513.1012    2.4197   -0.2701   -0.8906    2.5901    2.4861   -0.0146    1.1213   -0.0121    3.8625    0.7677   -0.7570   -1.4493   -4.0247    0.5182    1.4620   -1.2783   -1.7459   -0.4111    1.9886   -0.2300    0.3150   -1.6124
   -1.9396   -0.5675    0.1411    2.0506    0.5710    0.3260   -2.0178    1.1953   -1.0388   -0.4405    0.1093   -0.3825    2.6599    2.4197  512.1629   -0.8264    0.0838    1.0769    2.9105   -0.8084   -0.0926    0.3102    0.1460    0.3019   -0.6361   -0.6085   -1.0028    0.5678    0.3959   -0.4005    2.1038   -1.6790    0.0997   -1.2503   -3.0729    2.4986
