#simulate_test 512 -N1000 -m8
#$Id: simulate_test.c,v 1.12 2016/06/16 02:07:41 avi Exp avi $
p[i]*suml/sump
  0.000000  0.053646  0.317062  0.832006  1.431042  1.837105  1.952465  1.871755  1.709755  1.532131  1.366002  1.219525  1.093209  0.984958  0.892083  0.812037
E[YtildetYtilde]/npts^2
  0.000000  0.000000  0.000000  0.000000 -0.000000  0.000000  0.000000  0.000000  0.000000 -0.000000  0.000000 -0.000000  0.000000  0.000000 -0.000000  0.000000
  0.000000  0.055264  0.000189 -0.000100 -0.002387 -0.003299 -0.000866 -0.000653 -0.005739  0.004894  0.000286 -0.003511 -0.001243  0.002101 -0.007300 -0.003451
  0.000000  0.000189  0.323387 -0.006296 -0.002966  0.003854  0.006681  0.007320  0.013381 -0.004341 -0.000124  0.002645  0.001550 -0.001807 -0.010947 -0.001632
  0.000000 -0.000100 -0.006296  0.829928 -0.004726  0.024482  0.023139 -0.013798 -0.013266  0.021039 -0.001577 -0.008959 -0.009846 -0.003511  0.001923 -0.007562
 -0.000000 -0.002387 -0.002966 -0.004726  1.383618  0.026759  0.008799  0.001464  0.002819  0.018556 -0.004448  0.011465  0.000624 -0.001762  0.014792  0.007564
  0.000000 -0.003299  0.003854  0.024482  0.026759  1.787520  0.009610  0.002890  0.007358 -0.006494 -0.010099 -0.039934  0.006333 -0.003305 -0.022067 -0.002002
  0.000000 -0.000866  0.006681  0.023139  0.008799  0.009610  1.927288 -0.032696  0.018395  0.006462 -0.007334  0.012079  0.009717  0.011242  0.006263 -0.013946
  0.000000 -0.000653  0.007320 -0.013798  0.001464  0.002890 -0.032696  1.824368 -0.023484  0.028526  0.003271 -0.024655 -0.009354 -0.011529  0.007557 -0.017148
  0.000000 -0.005739  0.013381 -0.013266  0.002819  0.007358  0.018395 -0.023484  1.706718 -0.010815 -0.004825  0.037409  0.013250  0.006821  0.001088  0.000297
 -0.000000  0.004894 -0.004341  0.021039  0.018556 -0.006494  0.006462  0.028526 -0.010815  1.527889  0.016907 -0.033811  0.018802 -0.016316 -0.009533  0.031405
  0.000000  0.000286 -0.000124 -0.001577 -0.004448 -0.010099 -0.007334  0.003271 -0.004825  0.016907  1.313385 -0.004096 -0.014832  0.004281 -0.018156  0.028441
 -0.000000 -0.003511  0.002645 -0.008959  0.011465 -0.039934  0.012079 -0.024655  0.037409 -0.033811 -0.004096  1.219728  0.011983  0.002309 -0.017181 -0.009977
  0.000000 -0.001243  0.001550 -0.009846  0.000624  0.006333  0.009717 -0.009354  0.013250  0.018802 -0.014832  0.011983  1.084143 -0.005651 -0.013789  0.017199
  0.000000  0.002101 -0.001807 -0.003511 -0.001762 -0.003305  0.011242 -0.011529  0.006821 -0.016316  0.004281  0.002309 -0.005651  0.971679  0.016097 -0.007124
 -0.000000 -0.007300 -0.010947  0.001923  0.014792 -0.022067  0.006263  0.007557  0.001088 -0.009533 -0.018156 -0.017181 -0.013789  0.016097  0.886541 -0.005663
  0.000000 -0.003451 -0.001632 -0.007562  0.007564 -0.002002 -0.013946 -0.017148  0.000297  0.031405  0.028441 -0.009977  0.017199 -0.007124 -0.005663  0.826459
 -0.000000  0.000612  0.001854 -0.009194  0.022737 -0.005696  0.009480  0.007123 -0.003675 -0.008265 -0.011077  0.000554 -0.008160 -0.020246  0.008613 -0.011084
 -0.000000  0.003022 -0.006649 -0.007439 -0.003682 -0.013897  0.001246 -0.028996 -0.002443  0.004054 -0.010474  0.022103  0.005627 -0.012380  0.000095 -0.016467
  0.000000 -0.002949 -0.009889 -0.003285 -0.009876  0.006942 -0.016138 -0.023654 -0.014785  0.000284  0.006074  0.022365  0.002620 -0.009605  0.013638  0.005898
  0.000000  0.000218 -0.003013  0.000578 -0.005271 -0.005187  0.017500 -0.007794 -0.005589 -0.002525 -0.007422 -0.000031 -0.003495  0.011525 -0.000509  0.011210
