   -5.0000    0.5038    0.4204    0.4311    0.4145    0.4382    0.4555    0.4159    0.4056    0.4413    0.4688    0.5295    0.4580    0.3628    0.4961    0.4355    0.5139    0.4940    0.4235    0.3676    0.4574    0.4971    0.4624    0.4786    0.4487    0.4279    0.4065    0.4307    0.4561    0.5278    0.4692
   -4.0000    0.6039    0.5321    0.5409    0.5203    0.5398    0.5568    0.5217    0.5163    0.5537    0.5710    0.6393    0.5673    0.4786    0.6022    0.5538    0.6202    0.5978    0.5308    0.4820    0.5592    0.6036    0.5689    0.5849    0.5644    0.5351    0.5093    0.5358    0.5693    0.6352    0.5736
   -3.0000    0.7149    0.6524    0.6626    0.6379    0.6537    0.6671    0.6376    0.6378    0.6771    0.6819    0.7590    0.6875    0.6081    0.7155    0.6822    0.7365    0.7097    0.6473    0.6074    0.6732    0.7177    0.6868    0.7043    0.6883    0.6527    0.6196    0.6500    0.6921    0.7479    0.6886
   -2.0000    0.8238    0.7685    0.7820    0.7547    0.7671    0.7747    0.7512    0.7566    0.7972    0.7898    0.8765    0.8039    0.7365    0.8244    0.8063    0.8495    0.8179    0.7604    0.7285    0.7866    0.8271    0.8021    0.8225    0.8071    0.7675    0.7251    0.7605    0.8102    0.8550    0.8017
   -1.0000    0.9089    0.8587    0.8742    0.8479    0.8565    0.8587    0.8404    0.8498    0.8906    0.8738    0.9692    0.8924    0.8375    0.9083    0.9027    0.9372    0.9013    0.8489    0.8215    0.8769    0.9108    0.8921    0.9148    0.8983    0.8565    0.8055    0.8453    0.8995    0.9367    0.8903
    0.0000    0.9439    0.8964    0.9090    0.8874    0.8924    0.8921    0.8770    0.8878    0.9285    0.9078    1.0078    0.9240    0.8789    0.9407    0.9423    0.9717    0.9324    0.8848    0.8585    0.9156    0.9424    0.9293    0.9505    0.9336    0.8905    0.8351    0.8763    0.9309    0.9665    0.9252
    1.0000    0.9118    0.8644    0.8677    0.8557    0.8564    0.8577    0.8430    0.8514    0.8925    0.8754    0.9732    0.8805    0.8408    0.9050    0.9064    0.9356    0.8939    0.8507    0.8234    0.8841    0.9061    0.8972    0.9112    0.8959    0.8510    0.7992    0.8361    0.8869    0.9273    0.8880
    2.0000    0.8295    0.7793    0.7697    0.7718    0.7664    0.7719    0.7549    0.7607    0.8007    0.7933    0.8831    0.7810    0.7425    0.8180    0.8126    0.8453    0.8043    0.7636    0.7336    0.7985    0.8195    0.8129    0.8158    0.8029    0.7560    0.7135    0.7432    0.7860    0.8368    0.7978
    3.0000    0.7231    0.6679    0.6463    0.6659    0.6516    0.6614    0.6407    0.6456    0.6814    0.6879    0.7659    0.6552    0.6162    0.7063    0.6895    0.7285    0.6920    0.6514    0.6179    0.6863    0.7101    0.7037    0.6952    0.6828    0.6352    0.6045    0.6270    0.6582    0.7218    0.6841
    4.0000    0.6142    0.5523    0.5227    0.5596    0.5355    0.5479    0.5227    0.5286    0.5571    0.5801    0.6444    0.5273    0.4887    0.5901    0.5612    0.6079    0.5790    0.5362    0.4999    0.5706    0.5992    0.5919    0.5741    0.5584    0.5118    0.4927    0.5105    0.5282    0.6022    0.5694
    5.0000    0.5157    0.4457    0.4135    0.4633    0.4309    0.4435    0.4139    0.4223    0.4414    0.4812    0.5316    0.4124    0.3760    0.4804    0.4434    0.4975    0.4772    0.4315    0.3939    0.4659    0.4983    0.4905    0.4665    0.4430    0.3988    0.3897    0.4065    0.4106    0.4893    0.4656
