    0.0000    1.1790    1.1790   -0.5178   -0.5178
    1.0000    1.3382    1.3382   -1.0122   -1.0122
    2.0000    1.2811    1.2811   -1.0396   -1.0396
    3.0000    1.4365    1.4365   -0.9070   -0.9070
    4.0000    1.4311    1.4311   -0.7869   -0.7869
    5.0000    1.4247    1.4247   -0.8701   -0.8701
    6.0000   -0.3267    1.2496   -2.4024   -1.0836
    7.0000    1.0287    1.0287   -1.3324   -1.3324
    8.0000    0.9344    0.9344   -1.4489   -1.4489
    9.0000    0.8736    0.8736   -1.1096   -1.1096
   10.0000    0.7058    0.7058   -0.6087   -0.6087
   11.0000    0.4269    0.4269   -0.1790   -0.1790
   12.0000    0.3267    0.3267   -0.1144   -0.1144
   13.0000    1.1343    0.3510   -1.2094   -0.2722
   14.0000    0.4865    0.4865   -0.4162   -0.4162
   15.0000    0.6594    0.6594   -0.3901   -0.3901
   16.0000    0.5280    0.5280   -0.4099   -0.4099
   17.0000    0.1818    0.1818   -0.8250   -0.8250
   18.0000    0.5248   -0.2191   -0.9953   -1.0953
   19.0000    0.2081   -0.5757   -1.2684   -1.1180
   20.0000   -0.8012   -0.8012   -0.9718   -0.9718
   21.0000   -0.8332   -0.8332   -0.7001   -0.7001
   22.0000   -0.7798   -0.7798   -0.2974   -0.2974
   23.0000   -0.9079   -0.9079    0.0164    0.0164
   24.0000   -0.9909   -0.9909    0.2530    0.2530
   25.0000   -0.9600   -0.9600    0.2130    0.2130
   26.0000   -1.0209   -1.0209   -0.0702   -0.0702
   27.0000   -1.1244   -1.1244   -0.5406   -0.5406
   28.0000   -1.2362   -1.2362   -0.7353   -0.7353
   29.0000   -1.3870   -1.3870   -0.4359   -0.4359
   30.0000   -1.4918   -1.4240   -1.1972    0.0658
   31.0000   -1.4852   -1.4852    0.6529    0.6529
   32.0000   -1.7174   -1.7174    1.2419    1.2419
   33.0000   -1.9969   -1.9969    1.5842    1.5842
   34.0000   -2.2566   -2.2566    1.5479    1.5479
