   -5.0000    0.4187    0.3770    0.4465    0.3748    0.3909    0.3690    0.3919    0.3608    0.3990    0.3755    0.3792    0.3674    0.3880    0.3555    0.3689    0.4451    0.3283    0.4107    0.3145    0.3798    0.4030    0.3556    0.4301    0.3651    0.4213    0.4237    0.3810    0.3574    0.4003    0.3469
   -4.0000    0.5090    0.4781    0.5344    0.4733    0.4931    0.4665    0.4891    0.4623    0.4931    0.4776    0.4740    0.4677    0.4891    0.4588    0.4802    0.5379    0.4378    0.5062    0.4236    0.4783    0.5024    0.4609    0.5219    0.4715    0.5171    0.5162    0.4766    0.4611    0.4987    0.4560
   -3.0000    0.6138    0.5923    0.6338    0.5883    0.6066    0.5809    0.6008    0.5790    0.6039    0.5934    0.5859    0.5839    0.6042    0.5797    0.6002    0.6406    0.5618    0.6141    0.5514    0.5933    0.6135    0.5811    0.6253    0.5908    0.6236    0.6215    0.5888    0.5814    0.6098    0.5786
   -2.0000    0.7246    0.7125    0.7388    0.7110    0.7244    0.7039    0.7191    0.7033    0.7214    0.7145    0.7063    0.7074    0.7235    0.7077    0.7213    0.7463    0.6916    0.7275    0.6883    0.7155    0.7277    0.7062    0.7335    0.7145    0.7339    0.7316    0.7092    0.7080    0.7259    0.7058
   -1.0000    0.8237    0.8201    0.8335    0.8211    0.8284    0.8155    0.8252    0.8162    0.8261    0.8225    0.8161    0.8184    0.8284    0.8214    0.8266    0.8388    0.8078    0.8290    0.8114    0.8244    0.8282    0.8170    0.8302    0.8234    0.8317    0.8295    0.8172    0.8204    0.8286    0.8182
    0.0000    0.8878    0.8888    0.8938    0.8905    0.8933    0.8873    0.8922    0.8892    0.8915    0.8910    0.8889    0.8897    0.8933    0.8918    0.8922    0.8953    0.8827    0.8934    0.8900    0.8922    0.8920    0.8881    0.8919    0.8912    0.8933    0.8914    0.8844    0.8911    0.8925    0.8903
    1.0000    0.8929    0.8895    0.8932    0.8899    0.8917    0.8896    0.8917    0.8904    0.8903    0.8921    0.8963    0.8925    0.8918    0.8890    0.8930    0.8913    0.8867    0.8923    0.8922    0.8902    0.8938    0.8930    0.8929    0.8899    0.8930    0.8917    0.8812    0.8913    0.8899    0.8950
    2.0000    0.8390    0.8220    0.8317    0.8195    0.8244    0.8219    0.8235    0.8196    0.8225    0.8255    0.8376    0.8266    0.8242    0.8138    0.8292    0.8274    0.8193    0.8258    0.8182    0.8187    0.8335    0.8317    0.8328    0.8198    0.8313    0.8303    0.8074    0.8202    0.8210    0.8324
    3.0000    0.7503    0.7146    0.7352    0.7081    0.7200    0.7132    0.7166    0.7086    0.7152    0.7189    0.7407    0.7200    0.7175    0.6976    0.7258    0.7289    0.7099    0.7218    0.6996    0.7068    0.7358    0.7302    0.7376    0.7092    0.7344    0.7323    0.6923    0.7053    0.7140    0.7291
    4.0000    0.6498    0.5934    0.6282    0.5835    0.6043    0.5913    0.5983    0.5864    0.5946    0.5983    0.6320    0.5992    0.5964    0.5694    0.6073    0.6186    0.5856    0.6057    0.5667    0.5825    0.6236    0.6130    0.6311    0.5849    0.6264    0.6212    0.5647    0.5741    0.5949    0.6094
    5.0000    0.5538    0.4769    0.5271    0.4658    0.4943    0.4754    0.4878    0.4718    0.4803    0.4819    0.5299    0.4835    0.4788    0.4495    0.4915    0.5128    0.4658    0.4952    0.4419    0.4659    0.5140    0.4985    0.5306    0.4656    0.5239    0.5139    0.4456    0.4479    0.4822    0.4908
