    0.0100    9.5072
    0.0200    4.7524
    0.0300    3.1670
    0.0400    2.3739
    0.0500    1.8977
    0.0600    1.5800
    0.0700    1.3528
    0.0800    1.1822
    0.0900    1.0494
    0.1000    0.9430
    0.1100    0.8557
    0.1200    0.7829
    0.1300    0.7212
    0.1400    0.6682
    0.1500    0.6221
    0.1600    0.5817
    0.1700    0.5459
    0.1800    0.5141
    0.1900    0.4855
    0.2000    0.4597
    0.2100    0.4362
    0.2200    0.4148
    0.2300    0.3952
    0.2400    0.3772
    0.2500    0.3606
    0.2600    0.3451
    0.2700    0.3308
    0.2800    0.3174
    0.2900    0.3049
    0.3000    0.2931
    0.3100    0.2821
    0.3200    0.2717
    0.3300    0.2618
    0.3400    0.2525
    0.3500    0.2437
    0.3600    0.2353
    0.3700    0.2274
    0.3800    0.2198
    0.3900    0.2125
    0.4000    0.2056
    0.4100    0.1989
    0.4200    0.1925
    0.4300    0.1864
    0.4400    0.1805
    0.4500    0.1749
    0.4600    0.1694
    0.4700    0.1641
    0.4800    0.1590
    0.4900    0.1541
    0.5000    0.1494
    0.5100    0.1447
    0.5200    0.1402
    0.5300    0.1359
    0.5400    0.1317
    0.5500    0.1276
    0.5600    0.1236
    0.5700    0.1197
    0.5800    0.1158
    0.5900    0.1121
    0.6000    0.1085
    0.6100    0.1050
    0.6200    0.1015
    0.6300    0.0981
    0.6400    0.0948
    0.6500    0.0915
    0.6600    0.0883
    0.6700    0.0852
    0.6800    0.0821
    0.6900    0.0791
    0.7000    0.0761
    0.7100    0.0732
    0.7200    0.0703
    0.7300    0.0674
    0.7400    0.0646
    0.7500    0.0619
    0.7600    0.0591
    0.7700    0.0564
    0.7800    0.0538
    0.7900    0.0511
    0.8000    0.0485
    0.8100    0.0459
    0.8200    0.0434
    0.8300    0.0409
    0.8400    0.0383
    0.8500    0.0359
    0.8600    0.0334
    0.8700    0.0309
    0.8800    0.0285
    0.8900    0.0261
    0.9000    0.0237
    0.9100    0.0213
    0.9200    0.0189
    0.9300    0.0165
    0.9400    0.0141
    0.9500    0.0118
    0.9600    0.0094
    0.9700    0.0070
    0.9800    0.0047
    0.9900    0.0023
    1.0000    0.0000
