   -5.0000    0.4746    0.5061    0.4426    0.5159    0.4769    0.4514    0.4663    0.4218    0.4438    0.4493    0.4360    0.4189    0.4532    0.4229    0.4917    0.4922    0.3819    0.4685    0.4017    0.4927    0.4964    0.4479    0.4609    0.4223    0.4333    0.3803    0.4738    0.4083    0.4122    0.4649
   -4.0000    0.5776    0.6140    0.5465    0.6189    0.5919    0.5553    0.5681    0.5249    0.5567    0.5613    0.5450    0.5249    0.5526    0.5265    0.6008    0.5998    0.4920    0.5633    0.5061    0.5957    0.5974    0.5391    0.5663    0.5310    0.5414    0.4970    0.5656    0.5213    0.5193    0.5614
   -3.0000    0.6970    0.7294    0.6607    0.7296    0.7150    0.6740    0.6758    0.6392    0.6803    0.6783    0.6665    0.6423    0.6582    0.6448    0.7195    0.7163    0.6108    0.6747    0.6251    0.7090    0.7034    0.6477    0.6791    0.6499    0.6567    0.6228    0.6699    0.6444    0.6392    0.6685
   -2.0000    0.8054    0.8438    0.7640    0.8407    0.8333    0.7905    0.7797    0.7488    0.8011    0.7901    0.7851    0.7569    0.7537    0.7672    0.8262    0.8210    0.7164    0.7784    0.7359    0.8133    0.8126    0.7515    0.7933    0.7683    0.7794    0.7489    0.7739    0.7674    0.7587    0.7706
   -1.0000    0.8887    0.9232    0.8584    0.9312    0.9306    0.8860    0.8676    0.8391    0.8904    0.8826    0.8613    0.8398    0.8328    0.8686    0.9060    0.9004    0.8115    0.8562    0.8339    0.8840    0.8896    0.8313    0.8720    0.8628    0.8638    0.8452    0.8557    0.8588    0.8425    0.8591
    0.0000    0.9123    0.9688    0.8898    0.9664    0.9669    0.9155    0.9219    0.8748    0.9287    0.9253    0.8847    0.9009    0.8274    0.9153    0.9272    0.9444    0.8734    0.8638    0.9046    0.9150    0.9332    0.8681    0.8980    0.9021    0.9085    0.8640    0.8893    0.8923    0.8759    0.8789
    1.0000    0.8859    0.9266    0.8549    0.9397    0.9292    0.8883    0.8651    0.8398    0.8847    0.8815    0.8576    0.8394    0.8263    0.8742    0.9005    0.8958    0.8165    0.8573    0.8349    0.8870    0.8869    0.8171    0.8640    0.8560    0.8651    0.8452    0.8519    0.8679    0.8437    0.8665
    2.0000    0.7973    0.8475    0.7578    0.8572    0.8314    0.7940    0.7739    0.7482    0.7913    0.7903    0.7766    0.7559    0.7431    0.7766    0.8151    0.8140    0.7260    0.7839    0.7375    0.8221    0.8061    0.7236    0.7815    0.7538    0.7783    0.7485    0.7646    0.7866    0.7627    0.7832
    3.0000    0.6881    0.7305    0.6517    0.7504    0.7132    0.6756    0.6680    0.6371    0.6671    0.6759    0.6545    0.6427    0.6426    0.6598    0.7052    0.7107    0.6232    0.6803    0.6243    0.7300    0.6925    0.6070    0.6620    0.6289    0.6526    0.6251    0.6544    0.6744    0.6477    0.6829
    4.0000    0.5702    0.6113    0.5332    0.6422    0.5931    0.5545    0.5588    0.5233    0.5405    0.5531    0.5305    0.5231    0.5313    0.5476    0.5833    0.5975    0.5104    0.5676    0.4998    0.6274    0.5845    0.4853    0.5428    0.5079    0.5318    0.5026    0.5471    0.5614    0.5343    0.5768
    5.0000    0.4678    0.4989    0.4269    0.5418    0.4779    0.4464    0.4567    0.4227    0.4244    0.4367    0.4210    0.4176    0.4250    0.4481    0.4716    0.4960    0.4012    0.4674    0.3898    0.5323    0.4844    0.3825    0.4296    0.3998    0.4177    0.3891    0.4560    0.4584    0.4352    0.4808
