# column=2   nbin=4   nsample=16
# mean        0.9883    sd      0.0022
    0.9828         0              0.0000
    0.9828         2           6112.4694
    0.9849         2           6112.4694
    0.9849         1           3056.2347
    0.9869         1           3056.2347
    0.9869         4          12224.9389
    0.9890         4          12224.9389
    0.9890         9          27506.1125
    0.9910         9          27506.1125
    0.9910         0              0.0000
